SECTION	CATEGORY	CODE
PROFESSIONAL SERVICES	ARCHITECT	1001
PROFESSIONAL SERVICES	STRUCTURAL ENGINEERING	1002
PROFESSIONAL SERVICES	CIVIL ENGINEERING	1003
PROFESSIONAL SERVICES	MEP ENGINEERING	1004
PROFESSIONAL SERVICES	FIRE SPRINKLER	1005
PROFESSIONAL SERVICES	LANDSCAPE ARCHITECT	1006
PROFESSIONAL SERVICES	INTERIOR DESIGN	1007
PROFESSIONAL SERVICES	BUILDER'S RISK INSURANCE	1008
PROFESSIONAL SERVICES	WIND INSURANCE	1009
PROFESSIONAL SERVICES	PROJECT INSURANCE	1010
PROFESSIONAL SERVICES	PROFESSIONAL SERVICES	1011
PROFESSIONAL SERVICES	THRESHOLD INSPECTIONS	1012
PROFESSIONAL SERVICES	LEGAL SERVICES	1013
GENERAL CONDITIONS	SURVEYS	1101
GENERAL CONDITIONS	BUILDING PERMITS	1102
GENERAL CONDITIONS	PLAN COPIES	1103
GENERAL CONDITIONS	PERMIT PROCESSING	1104
GENERAL CONDITIONS	SOIL TESTING	1105
GENERAL CONDITIONS	ASBESTOS & LEAD TESTING	1106
GENERAL CONDITIONS	MOLD TESTING	1107
GENERAL CONDITIONS	MISCELLANEOUS CONSTRUCTION EXPENSE	1108
GENERAL CONDITIONS	PROTECTIVE MATERIALS	1109
GENERAL CONDITIONS	CONSTRUCTION PREPARATION/DEMO	1110
GENERAL CONDITIONS	CONSTRUCTION CLEANING	1111
GENERAL CONDITIONS	PUNCH OUT	1112
GENERAL CONDITIONS	COURIER SERVICES	1113
GENERAL CONDITIONS	GENERAL BUILDING MATERIALS	1114
GENERAL CONDITIONS	WEEKLY ALLOWANCE FOR JOB/SITE CLEAN UP	1115
TEMPORARY CONDITIONS	CONSTRUCTION TRAILER	1201
TEMPORARY CONDITIONS	CONSTRUCTION FENCES	1202
TEMPORARY CONDITIONS	ON SITE WIFI	1203
TEMPORARY CONDITIONS	PSEG ELECTRIC TIE-IN PRIMARY FEEDERS	1204
TEMPORARY CONDITIONS	TEMPORARY ELECTRIC	1205
TEMPORARY CONDITIONS	TEMPORARY AC	1206
TEMPORARY CONDITIONS	TEMPORARY WATER	1207
TEMPORARY CONDITIONS	TEMPORARY TOILETS	1208
TEMPORARY CONDITIONS	TEMPORARY STORAGE	1209
